SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,355,Texas,Nueces County,12,0,362294,179014,183280,162503,166750,7954,7515,1631,1516,3683,4383,267,253,2976,2863
50,48,357,Texas,Ochiltree County,12,0,9836,4935,4901,4657,4643,78,57,87,89,37,30,3,5,73,77
50,48,359,Texas,Oldham County,12,0,2112,1107,1005,1018,909,44,35,12,15,10,20,0,1,23,25
50,48,361,Texas,Orange County,12,0,83396,41354,42042,36199,36699,3568,3799,353,298,446,541,44,42,744,663
50,48,363,Texas,Palo Pinto County,12,0,29189,14338,14851,13365,13908,393,349,169,163,152,137,11,16,248,278
50,48,365,Texas,Panola County,12,0,23194,11509,11685,9369,9314,1734,1910,82,94,60,146,7,8,257,213
50,48,367,Texas,Parker County,12,0,142878,71181,71697,67341,68143,1323,1053,696,625,410,569,55,49,1356,1258
50,48,369,Texas,Parmer County,12,0,9605,4968,4637,4647,4377,94,77,95,65,36,56,23,11,73,51
50,48,371,Texas,Pecos County,12,0,15823,8972,6851,8043,6427,612,103,122,103,97,106,8,7,90,105
50,48,373,Texas,Polk County,12,0,51353,27759,23594,23265,20405,3273,1890,590,580,185,251,26,29,420,439
50,48,375,Texas,Potter County,12,0,117415,60341,57074,47061,46191,7518,5529,839,782,3614,3236,89,77,1220,1259
50,48,377,Texas,Presidio County,12,0,6704,3439,3265,3097,3086,63,34,67,50,155,55,1,0,56,40
50,48,379,Texas,Rains County,12,0,12514,6250,6264,5825,5875,173,166,80,69,49,57,4,3,119,94
50,48,381,Texas,Randall County,12,0,137713,67567,70146,61437,64503,2736,2148,681,667,1180,1312,58,51,1475,1465
50,48,383,Texas,Reagan County,12,0,3849,2056,1793,1890,1650,81,55,26,17,13,11,0,0,46,60
50,48,385,Texas,Real County,12,0,3452,1705,1747,1598,1657,21,16,33,35,9,5,6,6,38,28
50,48,387,Texas,Red River County,12,0,12023,5840,6183,4660,4884,925,1067,102,102,23,22,0,2,130,106
50,48,389,Texas,Reeves County,12,0,15976,9771,6205,8736,5767,713,174,83,76,144,104,7,8,88,76
